source,split,peg_id,cand_id,role,label,oracle_margin_mm,image_margin_px,image_margin_mm,image_turn,image_fits
blocks,dev,cross_04,tube_03,E3,incompatible,-2.0,-68.768,-4.6561,0,0
blocks,calib,tee_01,tee_01,M,compatible,0.2551,5.0,0.3385,0,1
blocks,calib,tee_01,rect_05,E2,incompatible,-2.0,-99.0,-6.7031,90,0
blocks,calib,tee_01,ell_06,E1,incompatible,-2.0,-71.0,-4.8073,180,0
blocks,calib,tee_01,tee_01_shrunk0.20,H,incompatible,-0.3066,-5.831,-0.3948,0,0
blocks,calib,tee_01,square_01,E3,incompatible,-2.0,-74.0,-5.0104,0,0
blocks,calib,tee_02,tee_02,M,compatible,0.246,4.0,0.2708,0,1
blocks,calib,tee_02,rect_04,E2,incompatible,-2.0,-55.0,-3.724,90,0
blocks,calib,tee_02,ell_05,E1,incompatible,-2.0,-55.0,-3.724,180,0
blocks,calib,tee_02,tee_02_shrunk0.20,H,incompatible,-0.3115,-5.0,-0.3385,0,0
blocks,calib,tee_02,rect_05,E3,incompatible,-2.0,-99.0,-6.7031,90,0
blocks,calib,tee_03,ell_06,E1,incompatible,-2.0,-71.028,-4.8092,180,0
blocks,calib,tee_03,tee_03,M,compatible,0.2548,4.472,0.3028,0,1
blocks,calib,tee_03,rect_05,E2,incompatible,-2.0,-88.0,-5.9583,270,0
blocks,calib,tee_03,tee_03_shrunk0.20,H,incompatible,-0.3066,-5.0,-0.3385,0,0
blocks,calib,tee_03,square_01,E3,incompatible,-2.0,-103.0,-6.974,0,0
blocks,calib,ell_01,rect_05,E2,incompatible,-2.0,-119.206,-8.0712,90,0
blocks,calib,ell_01,ell_01,M,compatible,0.2346,4.0,0.2708,0,1
blocks,calib,ell_01,rect_01,E1,incompatible,-2.0,-105.0,-7.1094,90,0
blocks,calib,ell_01,ell_01_shrunk0.20,H,incompatible,-0.3291,-5.0,-0.3385,0,0
blocks,calib,ell_01,square_01,E3,incompatible,-2.0,-93.172,-6.3085,270,0
blocks,calib,ell_02,rect_01,E1,incompatible,-2.0,-105.0,-7.1094,270,0
blocks,calib,ell_02,ell_02,M,compatible,0.2346,4.0,0.2708,0,1
blocks,calib,ell_02,rect_05,E2,incompatible,-2.0,-119.151,-8.0675,270,0
blocks,calib,ell_02,ell_02_shrunk0.20,H,incompatible,-0.3291,-5.0,-0.3385,0,0
blocks,calib,ell_02,square_01,E3,incompatible,-2.0,-93.172,-6.3085,0,0
blocks,calib,ell_03,ell_03,M,compatible,0.2417,4.0,0.2708,0,1
blocks,calib,ell_03,rect_05,E2,incompatible,-2.0,-88.888,-6.0184,0,0
blocks,calib,ell_03,ell_04,E1,incompatible,-2.0,-55.0,-3.724,180,0
blocks,calib,ell_03,ell_03_shrunk0.20,H,incompatible,-0.3242,-5.657,-0.383,0,0
blocks,calib,ell_03,square_01,E3,incompatible,-2.0,-99.0,-6.7031,0,0
blocks,calib,ell_04,rect_05,E2,incompatible,-2.0,-88.865,-6.0169,0,0
blocks,calib,ell_04,ell_03,E1,incompatible,-2.0,-55.0,-3.724,180,0
blocks,calib,ell_04,ell_04,M,compatible,0.2417,4.0,0.2708,0,1
blocks,calib,ell_04,ell_04_shrunk0.20,H,incompatible,-0.3242,-5.657,-0.383,0,0
blocks,calib,ell_04,square_01,E3,incompatible,-2.0,-99.0,-6.7031,0,0
blocks,calib,ell_05,rect_05,E2,incompatible,-2.0,-128.0,-8.6667,0,0
blocks,calib,ell_05,rect_01,E1,incompatible,-2.0,-114.0,-7.7187,0,0
blocks,calib,ell_05,ell_05,M,compatible,0.2221,4.0,0.2708,0,1
blocks,calib,ell_05,ell_05_shrunk0.20,H,incompatible,-0.3379,-5.657,-0.383,0,0
blocks,calib,ell_05,trapezoid_03,E3,incompatible,-2.0,-111.0,-7.5156,180,0
blocks,calib,ell_06,ell_06,M,compatible,0.2221,4.0,0.2708,0,1
blocks,calib,ell_06,rect_05,E2,incompatible,-2.0,-128.0,-8.6667,0,0
blocks,calib,ell_06,rect_01,E1,incompatible,-2.0,-114.0,-7.7187,0,0
blocks,calib,ell_06,ell_06_shrunk0.20,H,incompatible,-0.3379,-5.657,-0.383,0,0
blocks,calib,ell_06,trapezoid_03,E3,incompatible,-2.0,-111.0,-7.5156,90,0
blocks,calib,notched_01,notched_01,M,compatible,0.2389,3.0,0.2031,0,1
blocks,calib,notched_01,rect_05,E2,incompatible,-2.0,-54.589,-3.6962,0,0
blocks,calib,notched_01,ell_05,E1,incompatible,-2.0,-107.0,-7.2448,90,0
blocks,calib,notched_01,notched_04,H,incompatible,-0.7002,-10.0,-0.6771,0,0
blocks,calib,notched_01,tee_02,E3,incompatible,-2.0,-62.0,-4.1979,90,0
blocks,calib,notched_02,rect_05,E2,incompatible,-2.0,-56.859,-3.8499,0,0
blocks,calib,notched_02,ell_05,E1,incompatible,-2.0,-108.0,-7.3125,90,0
blocks,calib,notched_02,notched_02,M,compatible,0.2017,3.0,0.2031,0,1
blocks,calib,notched_02,notched_02_shrunk0.20,H,incompatible,-0.3574,-6.403,-0.4335,0,0
blocks,calib,notched_02,tee_02,E3,incompatible,-2.0,-61.0,-4.1302,90,0
blocks,calib,notched_03,rect_05,E2,incompatible,-2.0,-57.428,-3.8884,0,0
blocks,calib,notched_03,notched_03,M,compatible,0.2017,3.0,0.2031,0,1
blocks,calib,notched_03,ell_06,E1,incompatible,-2.0,-108.0,-7.3125,180,0
blocks,calib,notched_03,notched_03_shrunk0.20,H,incompatible,-0.3574,-6.403,-0.4335,0,0
blocks,calib,notched_03,tee_02,E3,incompatible,-2.0,-61.0,-4.1302,90,0
blocks,calib,notched_04,ell_02,E1,incompatible,-2.0,-81.0,-5.4844,180,0
blocks,calib,notched_04,ell_05,E2,incompatible,-2.0,-102.0,-6.9062,90,0
blocks,calib,notched_04,notched_04,M,compatible,0.2106,4.472,0.3028,0,1
blocks,calib,notched_04,notched_04_shrunk0.20,H,incompatible,-0.333,-4.243,-0.2873,0,0
blocks,calib,notched_04,tee_02,E3,incompatible,-2.0,-66.0,-4.4688,90,0
blocks,calib,trapezoid_01,trapezoid_01,M,compatible,0.2749,4.472,0.3028,0,1
blocks,calib,trapezoid_01,ell_01,E1,incompatible,-2.0,-60.0,-4.0625,0,0
blocks,calib,trapezoid_01,ell_06,E2,incompatible,-2.0,-81.0,-5.4844,0,0
blocks,calib,trapezoid_01,rect_03,H,incompatible,-1.7002,-25.0,-1.6927,0,0
blocks,calib,trapezoid_01,tee_02,E3,incompatible,-2.0,-67.0,-4.5365,180,0
blocks,calib,trapezoid_02,trapezoid_02,M,compatible,0.2837,4.472,0.3028,0,1
blocks,calib,trapezoid_02,ell_05,E2,incompatible,-2.0,-82.0,-5.5521,0,0
blocks,calib,trapezoid_02,ell_02,E1,incompatible,-2.0,-61.0,-4.1302,0,0
blocks,calib,trapezoid_02,trapezoid_01,H,incompatible,-0.5977,-8.544,-0.5785,0,0
blocks,calib,trapezoid_02,tee_02,E3,incompatible,-2.0,-68.0,-4.6042,180,0
blocks,calib,trapezoid_03,ell_01,E1,incompatible,-2.0,-61.0,-4.1302,0,0
blocks,calib,trapezoid_03,trapezoid_03,M,compatible,0.281,4.472,0.3028,0,1
blocks,calib,trapezoid_03,ell_05,E2,incompatible,-2.0,-82.0,-5.5521,0,0
blocks,calib,trapezoid_03,trapezoid_03_shrunk0.20,H,incompatible,-0.3174,-5.0,-0.3385,0,0
blocks,calib,trapezoid_03,tee_02,E3,incompatible,-2.0,-39.0,-2.6406,90,0
blocks,calib,gear_01,gear_01,M,compatible,0.2999,4.472,0.3028,180,1
blocks,calib,gear_01,rect_05,E2,incompatible,-2.0,-103.0,-6.974,90,0
blocks,calib,gear_01,ell_06,E1,incompatible,-2.0,-127.0,-8.599,0,0
blocks,calib,gear_01,gear_01_shrunk0.20,H,incompatible,-0.248,-4.0,-0.2708,180,0
blocks,calib,gear_01,square_01,E3,incompatible,-2.0,-82.0,-5.5521,0,0
blocks,calib,gear_02,rect_05,E2,incompatible,-2.0,-112.0,-7.5833,0,0
blocks,calib,gear_02,ell_05,E1,incompatible,-2.0,-140.0,-9.4792,0,0
blocks,calib,gear_02,gear_02,M,compatible,0.2999,4.472,0.3028,0,1
blocks,calib,gear_02,gear_02_shrunk0.20,H,incompatible,-0.2529,-4.0,-0.2708,0,0
blocks,calib,gear_02,square_01,E3,incompatible,-2.0,-83.0,-5.6198,0,0
blocks,calib,gear_03,rect_05,E2,incompatible,-2.0,-113.0,-7.651,0,0
blocks,calib,gear_03,ell_06,E1,incompatible,-2.0,-119.0,-8.0573,0,0
blocks,calib,gear_03,gear_03,M,compatible,0.2999,3.606,0.2441,0,1
blocks,calib,gear_03,gear_03_shrunk0.20,H,incompatible,-0.2529,-4.123,-0.2792,0,0
blocks,calib,gear_03,square_01,E3,incompatible,-2.0,-84.0,-5.6875,0,0
blocks,dev,tube_01,tube_01,M,compatible,0.2999,4.472,0.3028,0,1
blocks,dev,tube_01,cross_02,E2,incompatible,-0.6504,-10.0,-0.6771,0,0
blocks,dev,tube_01,cross_01,E1,incompatible,-2.0,-32.0,-2.1667,0,0
blocks,dev,tube_01,tube_01_shrunk0.20,H,incompatible,-0.2002,-4.0,-0.2708,0,0
blocks,dev,tube_01,tube_03,E3,incompatible,-1.7002,-25.239,-1.7089,0,0
blocks,dev,tube_02,tube_02,M,compatible,0.2999,4.472,0.3028,0,1
blocks,dev,tube_02,cross_01,E1,incompatible,-2.0,-32.0,-2.1667,0,0
blocks,dev,tube_02,cross_02,E2,incompatible,-0.6504,-10.0,-0.6771,0,0
blocks,dev,tube_02,tube_02_shrunk0.20,H,incompatible,-0.2002,-4.0,-0.2708,0,0
blocks,dev,tube_02,ellipse_02,E3,incompatible,-1.7002,-26.0,-1.7604,0,0
blocks,dev,tube_03,cross_01,E1,incompatible,-2.0,-53.0,-3.5885,0,0
blocks,dev,tube_03,cross_04,E2,incompatible,-2.0,-45.0,-3.0469,0,0
blocks,dev,tube_03,tube_03,M,compatible,0.2999,4.472,0.3028,0,1
blocks,dev,tube_03,tube_03_shrunk0.20,H,incompatible,-0.2002,-3.606,-0.2441,0,0
blocks,dev,tube_03,dshape_03,E3,incompatible,-2.0,-65.0,-4.401,0,0
aperture,dev,cross_01,cross_01_ap+0.30,+0.30,compatible,0.2999,5.0,0.3385,0,1
aperture,dev,cross_01,cross_01_ap+0.10,+0.10,compatible,0.1,2.0,0.1354,0,1
aperture,dev,cross_01,cross_01_ap+0.00,+0.00,ambiguous,0.0,1.0,0.0677,0,1
aperture,dev,cross_01,cross_01_ap-0.10,-0.10,ambiguous,-0.1416,-2.236,-0.1514,0,0
aperture,dev,cross_01,cross_01_ap-0.30,-0.30,incompatible,-0.4248,-7.071,-0.4788,0,0
aperture,dev,cross_01,cross_01_ap-0.60,-0.60,incompatible,-0.8486,-12.728,-0.8618,0,0
aperture,dev,cross_01,cross_01_ap-1.20,-1.20,incompatible,-1.6973,-25.456,-1.7236,0,0
aperture,dev,cross_02,cross_02_ap+0.30,+0.30,compatible,0.2999,5.0,0.3385,0,1
aperture,dev,cross_02,cross_02_ap+0.10,+0.10,compatible,0.1,2.0,0.1354,0,1
aperture,dev,cross_02,cross_02_ap+0.00,+0.00,ambiguous,0.0,1.0,0.0677,0,1
aperture,dev,cross_02,cross_02_ap-0.10,-0.10,ambiguous,-0.1416,-2.828,-0.1915,0,0
aperture,dev,cross_02,cross_02_ap-0.30,-0.30,incompatible,-0.4248,-6.403,-0.4335,0,0
aperture,dev,cross_02,cross_02_ap-0.60,-0.60,incompatible,-0.8486,-12.728,-0.8618,0,0
aperture,dev,cross_02,cross_02_ap-1.20,-1.20,incompatible,-1.6973,-25.456,-1.7236,0,0
aperture,dev,cross_03,cross_03_ap+0.30,+0.30,compatible,0.2999,5.0,0.3385,0,1
aperture,dev,cross_03,cross_03_ap+0.10,+0.10,compatible,0.1,2.0,0.1354,0,1
aperture,dev,cross_03,cross_03_ap+0.00,+0.00,ambiguous,0.0,1.0,0.0677,0,1
aperture,dev,cross_03,cross_03_ap-0.10,-0.10,ambiguous,-0.1416,-2.828,-0.1915,0,0
aperture,dev,cross_03,cross_03_ap-0.30,-0.30,incompatible,-0.4248,-6.403,-0.4335,0,0
aperture,dev,cross_03,cross_03_ap-0.60,-0.60,incompatible,-0.8486,-12.728,-0.8618,0,0
aperture,dev,cross_03,cross_03_ap-1.20,-1.20,incompatible,-1.6973,-25.456,-1.7236,0,0
aperture,dev,cross_04,cross_04_ap+0.30,+0.30,compatible,0.2999,5.0,0.3385,0,1
aperture,dev,cross_04,cross_04_ap+0.10,+0.10,compatible,0.1,2.0,0.1354,0,1
aperture,dev,cross_04,cross_04_ap+0.00,+0.00,ambiguous,0.0,1.0,0.0677,0,1
aperture,dev,cross_04,cross_04_ap-0.10,-0.10,ambiguous,-0.1416,-2.236,-0.1514,0,0
aperture,dev,cross_04,cross_04_ap-0.30,-0.30,incompatible,-0.4248,-6.403,-0.4335,0,0
aperture,dev,cross_04,cross_04_ap-0.60,-0.60,incompatible,-0.8486,-12.728,-0.8618,0,0
aperture,dev,cross_04,cross_04_ap-1.20,-1.20,incompatible,-1.6973,-25.456,-1.7236,0,0
aperture,dev,dshape_01,dshape_01_ap+0.30,+0.30,compatible,0.2923,4.123,0.2792,0,1
aperture,dev,dshape_01,dshape_01_ap+0.10,+0.10,compatible,0.0974,1.414,0.0958,0,1
aperture,dev,dshape_01,dshape_01_ap+0.00,+0.00,ambiguous,-0.001,-1.0,-0.0677,0,0
aperture,dev,dshape_01,dshape_01_ap-0.10,-0.10,ambiguous,-0.1045,-2.236,-0.1514,0,0
aperture,dev,dshape_01,dshape_01_ap-0.30,-0.30,incompatible,-0.3135,-5.0,-0.3385,0,0
aperture,dev,dshape_01,dshape_01_ap-0.60,-0.60,incompatible,-0.6279,-9.849,-0.6668,0,0
aperture,dev,dshape_01,dshape_01_ap-1.20,-1.20,incompatible,-1.2578,-18.439,-1.2485,0,0
aperture,dev,dshape_02,dshape_02_ap+0.30,+0.30,compatible,0.283,5.0,0.3385,0,1
aperture,dev,dshape_02,dshape_02_ap+0.10,+0.10,compatible,0.0942,1.414,0.0958,0,1
aperture,dev,dshape_02,dshape_02_ap+0.00,+0.00,ambiguous,-0.001,-1.0,-0.0677,0,0
aperture,dev,dshape_02,dshape_02_ap-0.10,-0.10,ambiguous,-0.1113,-3.0,-0.2031,0,0
aperture,dev,dshape_02,dshape_02_ap-0.30,-0.30,incompatible,-0.332,-5.0,-0.3385,0,0
aperture,dev,dshape_02,dshape_02_ap-0.60,-0.60,incompatible,-0.667,-10.0,-0.6771,0,0
aperture,dev,dshape_02,dshape_02_ap-1.20,-1.20,incompatible,-1.3408,-20.248,-1.371,0,0
