block_id,peg_id,family,split,regime,position,cand_id,kind,role,label,margin_mm,sim_to_mate,is_mate,peg_v1,peg_v2,socket_v1,socket_v2
circle_01_absent_hard,circle_01,circle,test,absent_hard,1,obround_02,catalog,E2,incompatible,-0.7002,0.5898,0,data/renders/procedural/circle_01_peg_v1.png,data/renders/procedural/circle_01_peg_v2.png,data/renders/procedural/obround_02_socket_v1.png,data/renders/procedural/obround_02_socket_v2.png
circle_01_absent_hard,circle_01,circle,test,absent_hard,2,obround_04,catalog,E3,incompatible,-1.7002,0.5914,0,data/renders/procedural/circle_01_peg_v1.png,data/renders/procedural/circle_01_peg_v2.png,data/renders/procedural/obround_04_socket_v1.png,data/renders/procedural/obround_04_socket_v2.png
circle_02_present_easy,circle_02,circle,test,present_easy,0,obround_01,catalog,E1,incompatible,-2.0,0.5487,0,data/renders/procedural/circle_02_peg_v1.png,data/renders/procedural/circle_02_peg_v2.png,data/renders/procedural/obround_01_socket_v1.png,data/renders/procedural/obround_01_socket_v2.png
circle_02_present_easy,circle_02,circle,test,present_easy,1,obround_03,catalog,E2,incompatible,-1.2002,0.503,0,data/renders/procedural/circle_02_peg_v1.png,data/renders/procedural/circle_02_peg_v2.png,data/renders/procedural/obround_03_socket_v1.png,data/renders/procedural/obround_03_socket_v2.png
circle_02_present_easy,circle_02,circle,test,present_easy,2,circle_02,catalog,M,compatible,0.2999,1.0,1,data/renders/procedural/circle_02_peg_v1.png,data/renders/procedural/circle_02_peg_v2.png,data/renders/procedural/circle_02_socket_v1.png,data/renders/procedural/circle_02_socket_v2.png
circle_02_present_hard,circle_02,circle,test,present_hard,0,circle_02_shrunk0.20,shrunk,H,incompatible,-0.2002,0.8583,0,data/renders/procedural/circle_02_peg_v1.png,data/renders/procedural/circle_02_peg_v2.png,data/renders/blocks/circle_02_shrunk0.20_socket_v1.png,data/renders/blocks/circle_02_shrunk0.20_socket_v2.png
circle_02_present_hard,circle_02,circle,test,present_hard,1,obround_03,catalog,E2,incompatible,-1.2002,0.503,0,data/renders/procedural/circle_02_peg_v1.png,data/renders/procedural/circle_02_peg_v2.png,data/renders/procedural/obround_03_socket_v1.png,data/renders/procedural/obround_03_socket_v2.png
circle_02_present_hard,circle_02,circle,test,present_hard,2,circle_02,catalog,M,compatible,0.2999,1.0,1,data/renders/procedural/circle_02_peg_v1.png,data/renders/procedural/circle_02_peg_v2.png,data/renders/procedural/circle_02_socket_v1.png,data/renders/procedural/circle_02_socket_v2.png
circle_02_absent_easy,circle_02,circle,test,absent_easy,0,obround_01,catalog,E1,incompatible,-2.0,0.5487,0,data/renders/procedural/circle_02_peg_v1.png,data/renders/procedural/circle_02_peg_v2.png,data/renders/procedural/obround_01_socket_v1.png,data/renders/procedural/obround_01_socket_v2.png
circle_02_absent_easy,circle_02,circle,test,absent_easy,1,obround_04,catalog,E3,incompatible,-2.0,0.5652,0,data/renders/procedural/circle_02_peg_v1.png,data/renders/procedural/circle_02_peg_v2.png,data/renders/procedural/obround_04_socket_v1.png,data/renders/procedural/obround_04_socket_v2.png
circle_02_absent_easy,circle_02,circle,test,absent_easy,2,obround_03,catalog,E2,incompatible,-1.2002,0.503,0,data/renders/procedural/circle_02_peg_v1.png,data/renders/procedural/circle_02_peg_v2.png,data/renders/procedural/obround_03_socket_v1.png,data/renders/procedural/obround_03_socket_v2.png
circle_02_absent_hard,circle_02,circle,test,absent_hard,0,obround_04,catalog,E3,incompatible,-2.0,0.5652,0,data/renders/procedural/circle_02_peg_v1.png,data/renders/procedural/circle_02_peg_v2.png,data/renders/procedural/obround_04_socket_v1.png,data/renders/procedural/obround_04_socket_v2.png
circle_02_absent_hard,circle_02,circle,test,absent_hard,1,obround_03,catalog,E2,incompatible,-1.2002,0.503,0,data/renders/procedural/circle_02_peg_v1.png,data/renders/procedural/circle_02_peg_v2.png,data/renders/procedural/obround_03_socket_v1.png,data/renders/procedural/obround_03_socket_v2.png
circle_02_absent_hard,circle_02,circle,test,absent_hard,2,circle_02_shrunk0.20,shrunk,H,incompatible,-0.2002,0.8583,0,data/renders/procedural/circle_02_peg_v1.png,data/renders/procedural/circle_02_peg_v2.png,data/renders/blocks/circle_02_shrunk0.20_socket_v1.png,data/renders/blocks/circle_02_shrunk0.20_socket_v2.png
circle_03_present_easy,circle_03,circle,test,present_easy,0,circle_01,catalog,E2,incompatible,-2.0,0.4078,0,data/renders/procedural/circle_03_peg_v1.png,data/renders/procedural/circle_03_peg_v2.png,data/renders/procedural/circle_01_socket_v1.png,data/renders/procedural/circle_01_socket_v2.png
circle_03_present_easy,circle_03,circle,test,present_easy,1,circle_03,catalog,M,compatible,0.2999,1.0,1,data/renders/procedural/circle_03_peg_v1.png,data/renders/procedural/circle_03_peg_v2.png,data/renders/procedural/circle_03_socket_v1.png,data/renders/procedural/circle_03_socket_v2.png
circle_03_present_easy,circle_03,circle,test,present_easy,2,chamfered_04,catalog,E1,incompatible,-2.0,0.5559,0,data/renders/procedural/circle_03_peg_v1.png,data/renders/procedural/circle_03_peg_v2.png,data/renders/procedural/chamfered_04_socket_v1.png,data/renders/procedural/chamfered_04_socket_v2.png
circle_03_present_hard,circle_03,circle,test,present_hard,0,circle_03,catalog,M,compatible,0.2999,1.0,1,data/renders/procedural/circle_03_peg_v1.png,data/renders/procedural/circle_03_peg_v2.png,data/renders/procedural/circle_03_socket_v1.png,data/renders/procedural/circle_03_socket_v2.png
circle_03_present_hard,circle_03,circle,test,present_hard,1,circle_01,catalog,E2,incompatible,-2.0,0.4078,0,data/renders/procedural/circle_03_peg_v1.png,data/renders/procedural/circle_03_peg_v2.png,data/renders/procedural/circle_01_socket_v1.png,data/renders/procedural/circle_01_socket_v2.png
circle_03_present_hard,circle_03,circle,test,present_hard,2,circle_03_shrunk0.20,shrunk,H,incompatible,-0.2002,0.8831,0,data/renders/procedural/circle_03_peg_v1.png,data/renders/procedural/circle_03_peg_v2.png,data/renders/blocks/circle_03_shrunk0.20_socket_v1.png,data/renders/blocks/circle_03_shrunk0.20_socket_v2.png
circle_03_absent_easy,circle_03,circle,test,absent_easy,0,chamfered_04,catalog,E1,incompatible,-2.0,0.5559,0,data/renders/procedural/circle_03_peg_v1.png,data/renders/procedural/circle_03_peg_v2.png,data/renders/procedural/chamfered_04_socket_v1.png,data/renders/procedural/chamfered_04_socket_v2.png
circle_03_absent_easy,circle_03,circle,test,absent_easy,1,circle_01,catalog,E2,incompatible,-2.0,0.4078,0,data/renders/procedural/circle_03_peg_v1.png,data/renders/procedural/circle_03_peg_v2.png,data/renders/procedural/circle_01_socket_v1.png,data/renders/procedural/circle_01_socket_v2.png
circle_03_absent_easy,circle_03,circle,test,absent_easy,2,obround_04,catalog,E3,incompatible,-2.0,0.4021,0,data/renders/procedural/circle_03_peg_v1.png,data/renders/procedural/circle_03_peg_v2.png,data/renders/procedural/obround_04_socket_v1.png,data/renders/procedural/obround_04_socket_v2.png
circle_03_absent_hard,circle_03,circle,test,absent_hard,0,obround_04,catalog,E3,incompatible,-2.0,0.4021,0,data/renders/procedural/circle_03_peg_v1.png,data/renders/procedural/circle_03_peg_v2.png,data/renders/procedural/obround_04_socket_v1.png,data/renders/procedural/obround_04_socket_v2.png
circle_03_absent_hard,circle_03,circle,test,absent_hard,1,circle_01,catalog,E2,incompatible,-2.0,0.4078,0,data/renders/procedural/circle_03_peg_v1.png,data/renders/procedural/circle_03_peg_v2.png,data/renders/procedural/circle_01_socket_v1.png,data/renders/procedural/circle_01_socket_v2.png
circle_03_absent_hard,circle_03,circle,test,absent_hard,2,circle_03_shrunk0.20,shrunk,H,incompatible,-0.2002,0.8831,0,data/renders/procedural/circle_03_peg_v1.png,data/renders/procedural/circle_03_peg_v2.png,data/renders/blocks/circle_03_shrunk0.20_socket_v1.png,data/renders/blocks/circle_03_shrunk0.20_socket_v2.png
circle_04_present_easy,circle_04,circle,test,present_easy,0,chamfered_04,catalog,E1,incompatible,-2.0,0.3616,0,data/renders/procedural/circle_04_peg_v1.png,data/renders/procedural/circle_04_peg_v2.png,data/renders/procedural/chamfered_04_socket_v1.png,data/renders/procedural/chamfered_04_socket_v2.png
circle_04_present_easy,circle_04,circle,test,present_easy,1,circle_04,catalog,M,compatible,0.2999,1.0,1,data/renders/procedural/circle_04_peg_v1.png,data/renders/procedural/circle_04_peg_v2.png,data/renders/procedural/circle_04_socket_v1.png,data/renders/procedural/circle_04_socket_v2.png
circle_04_present_easy,circle_04,circle,test,present_easy,2,circle_01,catalog,E2,incompatible,-2.0,0.2648,0,data/renders/procedural/circle_04_peg_v1.png,data/renders/procedural/circle_04_peg_v2.png,data/renders/procedural/circle_01_socket_v1.png,data/renders/procedural/circle_01_socket_v2.png
circle_04_present_hard,circle_04,circle,test,present_hard,0,circle_04_shrunk0.20,shrunk,H,incompatible,-0.2002,0.9052,0,data/renders/procedural/circle_04_peg_v1.png,data/renders/procedural/circle_04_peg_v2.png,data/renders/blocks/circle_04_shrunk0.20_socket_v1.png,data/renders/blocks/circle_04_shrunk0.20_socket_v2.png
circle_04_present_hard,circle_04,circle,test,present_hard,1,circle_01,catalog,E2,incompatible,-2.0,0.2648,0,data/renders/procedural/circle_04_peg_v1.png,data/renders/procedural/circle_04_peg_v2.png,data/renders/procedural/circle_01_socket_v1.png,data/renders/procedural/circle_01_socket_v2.png
circle_04_present_hard,circle_04,circle,test,present_hard,2,circle_04,catalog,M,compatible,0.2999,1.0,1,data/renders/procedural/circle_04_peg_v1.png,data/renders/procedural/circle_04_peg_v2.png,data/renders/procedural/circle_04_socket_v1.png,data/renders/procedural/circle_04_socket_v2.png
circle_04_absent_easy,circle_04,circle,test,absent_easy,0,obround_04,catalog,E3,incompatible,-2.0,0.2611,0,data/renders/procedural/circle_04_peg_v1.png,data/renders/procedural/circle_04_peg_v2.png,data/renders/procedural/obround_04_socket_v1.png,data/renders/procedural/obround_04_socket_v2.png
circle_04_absent_easy,circle_04,circle,test,absent_easy,1,circle_01,catalog,E2,incompatible,-2.0,0.2648,0,data/renders/procedural/circle_04_peg_v1.png,data/renders/procedural/circle_04_peg_v2.png,data/renders/procedural/circle_01_socket_v1.png,data/renders/procedural/circle_01_socket_v2.png
circle_04_absent_easy,circle_04,circle,test,absent_easy,2,chamfered_04,catalog,E1,incompatible,-2.0,0.3616,0,data/renders/procedural/circle_04_peg_v1.png,data/renders/procedural/circle_04_peg_v2.png,data/renders/procedural/chamfered_04_socket_v1.png,data/renders/procedural/chamfered_04_socket_v2.png
circle_04_absent_hard,circle_04,circle,test,absent_hard,0,obround_04,catalog,E3,incompatible,-2.0,0.2611,0,data/renders/procedural/circle_04_peg_v1.png,data/renders/procedural/circle_04_peg_v2.png,data/renders/procedural/obround_04_socket_v1.png,data/renders/procedural/obround_04_socket_v2.png
circle_04_absent_hard,circle_04,circle,test,absent_hard,1,circle_01,catalog,E2,incompatible,-2.0,0.2648,0,data/renders/procedural/circle_04_peg_v1.png,data/renders/procedural/circle_04_peg_v2.png,data/renders/procedural/circle_01_socket_v1.png,data/renders/procedural/circle_01_socket_v2.png
circle_04_absent_hard,circle_04,circle,test,absent_hard,2,circle_04_shrunk0.20,shrunk,H,incompatible,-0.2002,0.9052,0,data/renders/procedural/circle_04_peg_v1.png,data/renders/procedural/circle_04_peg_v2.png,data/renders/blocks/circle_04_shrunk0.20_socket_v1.png,data/renders/blocks/circle_04_shrunk0.20_socket_v2.png
circle_05_present_easy,circle_05,circle,test,present_easy,0,chamfered_04,catalog,E1,incompatible,-2.0,0.2535,0,data/renders/procedural/circle_05_peg_v1.png,data/renders/procedural/circle_05_peg_v2.png,data/renders/procedural/chamfered_04_socket_v1.png,data/renders/procedural/chamfered_04_socket_v2.png
circle_05_present_easy,circle_05,circle,test,present_easy,1,circle_01,catalog,E2,incompatible,-2.0,0.1857,0,data/renders/procedural/circle_05_peg_v1.png,data/renders/procedural/circle_05_peg_v2.png,data/renders/procedural/circle_01_socket_v1.png,data/renders/procedural/circle_01_socket_v2.png
circle_05_present_easy,circle_05,circle,test,present_easy,2,circle_05,catalog,M,compatible,0.2999,1.0,1,data/renders/procedural/circle_05_peg_v1.png,data/renders/procedural/circle_05_peg_v2.png,data/renders/procedural/circle_05_socket_v1.png,data/renders/procedural/circle_05_socket_v2.png
circle_05_present_hard,circle_05,circle,test,present_hard,0,circle_01,catalog,E2,incompatible,-2.0,0.1857,0,data/renders/procedural/circle_05_peg_v1.png,data/renders/procedural/circle_05_peg_v2.png,data/renders/procedural/circle_01_socket_v1.png,data/renders/procedural/circle_01_socket_v2.png
circle_05_present_hard,circle_05,circle,test,present_hard,1,circle_05_shrunk0.20,shrunk,H,incompatible,-0.2002,0.9203,0,data/renders/procedural/circle_05_peg_v1.png,data/renders/procedural/circle_05_peg_v2.png,data/renders/blocks/circle_05_shrunk0.20_socket_v1.png,data/renders/blocks/circle_05_shrunk0.20_socket_v2.png
circle_05_present_hard,circle_05,circle,test,present_hard,2,circle_05,catalog,M,compatible,0.2999,1.0,1,data/renders/procedural/circle_05_peg_v1.png,data/renders/procedural/circle_05_peg_v2.png,data/renders/procedural/circle_05_socket_v1.png,data/renders/procedural/circle_05_socket_v2.png
circle_05_absent_easy,circle_05,circle,test,absent_easy,0,obround_04,catalog,E3,incompatible,-2.0,0.1831,0,data/renders/procedural/circle_05_peg_v1.png,data/renders/procedural/circle_05_peg_v2.png,data/renders/procedural/obround_04_socket_v1.png,data/renders/procedural/obround_04_socket_v2.png
circle_05_absent_easy,circle_05,circle,test,absent_easy,1,circle_01,catalog,E2,incompatible,-2.0,0.1857,0,data/renders/procedural/circle_05_peg_v1.png,data/renders/procedural/circle_05_peg_v2.png,data/renders/procedural/circle_01_socket_v1.png,data/renders/procedural/circle_01_socket_v2.png
circle_05_absent_easy,circle_05,circle,test,absent_easy,2,chamfered_04,catalog,E1,incompatible,-2.0,0.2535,0,data/renders/procedural/circle_05_peg_v1.png,data/renders/procedural/circle_05_peg_v2.png,data/renders/procedural/chamfered_04_socket_v1.png,data/renders/procedural/chamfered_04_socket_v2.png
circle_05_absent_hard,circle_05,circle,test,absent_hard,0,circle_05_shrunk0.20,shrunk,H,incompatible,-0.2002,0.9203,0,data/renders/procedural/circle_05_peg_v1.png,data/renders/procedural/circle_05_peg_v2.png,data/renders/blocks/circle_05_shrunk0.20_socket_v1.png,data/renders/blocks/circle_05_shrunk0.20_socket_v2.png
circle_05_absent_hard,circle_05,circle,test,absent_hard,1,circle_01,catalog,E2,incompatible,-2.0,0.1857,0,data/renders/procedural/circle_05_peg_v1.png,data/renders/procedural/circle_05_peg_v2.png,data/renders/procedural/circle_01_socket_v1.png,data/renders/procedural/circle_01_socket_v2.png
circle_05_absent_hard,circle_05,circle,test,absent_hard,2,obround_04,catalog,E3,incompatible,-2.0,0.1831,0,data/renders/procedural/circle_05_peg_v1.png,data/renders/procedural/circle_05_peg_v2.png,data/renders/procedural/obround_04_socket_v1.png,data/renders/procedural/obround_04_socket_v2.png
square_01_present_easy,square_01,square,calib,present_easy,0,ell_05,catalog,E2,incompatible,-2.0,0.319,0,data/renders/procedural/square_01_peg_v1.png,data/renders/procedural/square_01_peg_v2.png,data/renders/procedural/ell_05_socket_v1.png,data/renders/procedural/ell_05_socket_v2.png
square_01_present_easy,square_01,square,calib,present_easy,1,ell_02,catalog,E1,incompatible,-2.0,0.3441,0,data/renders/procedural/square_01_peg_v1.png,data/renders/procedural/square_01_peg_v2.png,data/renders/procedural/ell_02_socket_v1.png,data/renders/procedural/ell_02_socket_v2.png
square_01_present_easy,square_01,square,calib,present_easy,2,square_01,catalog,M,compatible,0.2999,1.0,1,data/renders/procedural/square_01_peg_v1.png,data/renders/procedural/square_01_peg_v2.png,data/renders/procedural/square_01_socket_v1.png,data/renders/procedural/square_01_socket_v2.png
square_01_present_hard,square_01,square,calib,present_hard,0,square_01,catalog,M,compatible,0.2999,1.0,1,data/renders/procedural/square_01_peg_v1.png,data/renders/procedural/square_01_peg_v2.png,data/renders/procedural/square_01_socket_v1.png,data/renders/procedural/square_01_socket_v2.png
square_01_present_hard,square_01,square,calib,present_hard,1,square_01_shrunk0.20,shrunk,H,incompatible,-0.2832,0.8208,0,data/renders/procedural/square_01_peg_v1.png,data/renders/procedural/square_01_peg_v2.png,data/renders/blocks/square_01_shrunk0.20_socket_v1.png,data/renders/blocks/square_01_shrunk0.20_socket_v2.png
square_01_present_hard,square_01,square,calib,present_hard,2,ell_05,catalog,E2,incompatible,-2.0,0.319,0,data/renders/procedural/square_01_peg_v1.png,data/renders/procedural/square_01_peg_v2.png,data/renders/procedural/ell_05_socket_v1.png,data/renders/procedural/ell_05_socket_v2.png
square_01_absent_easy,square_01,square,calib,absent_easy,0,ell_02,catalog,E1,incompatible,-2.0,0.3441,0,data/renders/procedural/square_01_peg_v1.png,data/renders/procedural/square_01_peg_v2.png,data/renders/procedural/ell_02_socket_v1.png,data/renders/procedural/ell_02_socket_v2.png
square_01_absent_easy,square_01,square,calib,absent_easy,1,ell_05,catalog,E2,incompatible,-2.0,0.319,0,data/renders/procedural/square_01_peg_v1.png,data/renders/procedural/square_01_peg_v2.png,data/renders/procedural/ell_05_socket_v1.png,data/renders/procedural/ell_05_socket_v2.png
square_01_absent_easy,square_01,square,calib,absent_easy,2,tee_03,catalog,E3,incompatible,-1.7002,0.3738,0,data/renders/procedural/square_01_peg_v1.png,data/renders/procedural/square_01_peg_v2.png,data/renders/procedural/tee_03_socket_v1.png,data/renders/procedural/tee_03_socket_v2.png
square_01_absent_hard,square_01,square,calib,absent_hard,0,square_01_shrunk0.20,shrunk,H,incompatible,-0.2832,0.8208,0,data/renders/procedural/square_01_peg_v1.png,data/renders/procedural/square_01_peg_v2.png,data/renders/blocks/square_01_shrunk0.20_socket_v1.png,data/renders/blocks/square_01_shrunk0.20_socket_v2.png
square_01_absent_hard,square_01,square,calib,absent_hard,1,tee_03,catalog,E3,incompatible,-1.7002,0.3738,0,data/renders/procedural/square_01_peg_v1.png,data/renders/procedural/square_01_peg_v2.png,data/renders/procedural/tee_03_socket_v1.png,data/renders/procedural/tee_03_socket_v2.png
square_01_absent_hard,square_01,square,calib,absent_hard,2,ell_05,catalog,E2,incompatible,-2.0,0.319,0,data/renders/procedural/square_01_peg_v1.png,data/renders/procedural/square_01_peg_v2.png,data/renders/procedural/ell_05_socket_v1.png,data/renders/procedural/ell_05_socket_v2.png
square_02_present_easy,square_02,square,calib,present_easy,0,rect_05,catalog,E2,incompatible,-2.0,0.4494,0,data/renders/procedural/square_02_peg_v1.png,data/renders/procedural/square_02_peg_v2.png,data/renders/procedural/rect_05_socket_v1.png,data/renders/procedural/rect_05_socket_v2.png
square_02_present_easy,square_02,square,calib,present_easy,1,ell_05,catalog,E1,incompatible,-2.0,0.4216,0,data/renders/procedural/square_02_peg_v1.png,data/renders/procedural/square_02_peg_v2.png,data/renders/procedural/ell_05_socket_v1.png,data/renders/procedural/ell_05_socket_v2.png
square_02_present_easy,square_02,square,calib,present_easy,2,square_02,catalog,M,compatible,0.2999,1.0,1,data/renders/procedural/square_02_peg_v1.png,data/renders/procedural/square_02_peg_v2.png,data/renders/procedural/square_02_socket_v1.png,data/renders/procedural/square_02_socket_v2.png
square_02_present_hard,square_02,square,calib,present_hard,0,square_02_shrunk0.20,shrunk,H,incompatible,-0.2832,0.8587,0,data/renders/procedural/square_02_peg_v1.png,data/renders/procedural/square_02_peg_v2.png,data/renders/blocks/square_02_shrunk0.20_socket_v1.png,data/renders/blocks/square_02_shrunk0.20_socket_v2.png
square_02_present_hard,square_02,square,calib,present_hard,1,square_02,catalog,M,compatible,0.2999,1.0,1,data/renders/procedural/square_02_peg_v1.png,data/renders/procedural/square_02_peg_v2.png,data/renders/procedural/square_02_socket_v1.png,data/renders/procedural/square_02_socket_v2.png
square_02_present_hard,square_02,square,calib,present_hard,2,rect_05,catalog,E2,incompatible,-2.0,0.4494,0,data/renders/procedural/square_02_peg_v1.png,data/renders/procedural/square_02_peg_v2.png,data/renders/procedural/rect_05_socket_v1.png,data/renders/procedural/rect_05_socket_v2.png
square_02_absent_easy,square_02,square,calib,absent_easy,0,ell_05,catalog,E1,incompatible,-2.0,0.4216,0,data/renders/procedural/square_02_peg_v1.png,data/renders/procedural/square_02_peg_v2.png,data/renders/procedural/ell_05_socket_v1.png,data/renders/procedural/ell_05_socket_v2.png
square_02_absent_easy,square_02,square,calib,absent_easy,1,rect_05,catalog,E2,incompatible,-2.0,0.4494,0,data/renders/procedural/square_02_peg_v1.png,data/renders/procedural/square_02_peg_v2.png,data/renders/procedural/rect_05_socket_v1.png,data/renders/procedural/rect_05_socket_v2.png
square_02_absent_easy,square_02,square,calib,absent_easy,2,tee_02,catalog,E3,incompatible,-2.0,0.4099,0,data/renders/procedural/square_02_peg_v1.png,data/renders/procedural/square_02_peg_v2.png,data/renders/procedural/tee_02_socket_v1.png,data/renders/procedural/tee_02_socket_v2.png
square_02_absent_hard,square_02,square,calib,absent_hard,0,square_02_shrunk0.20,shrunk,H,incompatible,-0.2832,0.8587,0,data/renders/procedural/square_02_peg_v1.png,data/renders/procedural/square_02_peg_v2.png,data/renders/blocks/square_02_shrunk0.20_socket_v1.png,data/renders/blocks/square_02_shrunk0.20_socket_v2.png
square_02_absent_hard,square_02,square,calib,absent_hard,1,tee_02,catalog,E3,incompatible,-2.0,0.4099,0,data/renders/procedural/square_02_peg_v1.png,data/renders/procedural/square_02_peg_v2.png,data/renders/procedural/tee_02_socket_v1.png,data/renders/procedural/tee_02_socket_v2.png
square_02_absent_hard,square_02,square,calib,absent_hard,2,rect_05,catalog,E2,incompatible,-2.0,0.4494,0,data/renders/procedural/square_02_peg_v1.png,data/renders/procedural/square_02_peg_v2.png,data/renders/procedural/rect_05_socket_v1.png,data/renders/procedural/rect_05_socket_v2.png
square_03_present_easy,square_03,square,calib,present_easy,0,square_03,catalog,M,compatible,0.2999,1.0,1,data/renders/procedural/square_03_peg_v1.png,data/renders/procedural/square_03_peg_v2.png,data/renders/procedural/square_03_socket_v1.png,data/renders/procedural/square_03_socket_v2.png
square_03_present_easy,square_03,square,calib,present_easy,1,ell_06,catalog,E1,incompatible,-2.0,0.3621,0,data/renders/procedural/square_03_peg_v1.png,data/renders/procedural/square_03_peg_v2.png,data/renders/procedural/ell_06_socket_v1.png,data/renders/procedural/ell_06_socket_v2.png
square_03_present_easy,square_03,square,calib,present_easy,2,rect_05,catalog,E2,incompatible,-2.0,0.3016,0,data/renders/procedural/square_03_peg_v1.png,data/renders/procedural/square_03_peg_v2.png,data/renders/procedural/rect_05_socket_v1.png,data/renders/procedural/rect_05_socket_v2.png
square_03_present_hard,square_03,square,calib,present_hard,0,rect_05,catalog,E2,incompatible,-2.0,0.3016,0,data/renders/procedural/square_03_peg_v1.png,data/renders/procedural/square_03_peg_v2.png,data/renders/procedural/rect_05_socket_v1.png,data/renders/procedural/rect_05_socket_v2.png
square_03_present_hard,square_03,square,calib,present_hard,1,square_03,catalog,M,compatible,0.2999,1.0,1,data/renders/procedural/square_03_peg_v1.png,data/renders/procedural/square_03_peg_v2.png,data/renders/procedural/square_03_socket_v1.png,data/renders/procedural/square_03_socket_v2.png
square_03_present_hard,square_03,square,calib,present_hard,2,square_03_shrunk0.20,shrunk,H,incompatible,-0.2832,0.8834,0,data/renders/procedural/square_03_peg_v1.png,data/renders/procedural/square_03_peg_v2.png,data/renders/blocks/square_03_shrunk0.20_socket_v1.png,data/renders/blocks/square_03_shrunk0.20_socket_v2.png
square_03_absent_easy,square_03,square,calib,absent_easy,0,tee_02,catalog,E3,incompatible,-2.0,0.384,0,data/renders/procedural/square_03_peg_v1.png,data/renders/procedural/square_03_peg_v2.png,data/renders/procedural/tee_02_socket_v1.png,data/renders/procedural/tee_02_socket_v2.png
square_03_absent_easy,square_03,square,calib,absent_easy,1,ell_06,catalog,E1,incompatible,-2.0,0.3621,0,data/renders/procedural/square_03_peg_v1.png,data/renders/procedural/square_03_peg_v2.png,data/renders/procedural/ell_06_socket_v1.png,data/renders/procedural/ell_06_socket_v2.png
square_03_absent_easy,square_03,square,calib,absent_easy,2,rect_05,catalog,E2,incompatible,-2.0,0.3016,0,data/renders/procedural/square_03_peg_v1.png,data/renders/procedural/square_03_peg_v2.png,data/renders/procedural/rect_05_socket_v1.png,data/renders/procedural/rect_05_socket_v2.png
square_03_absent_hard,square_03,square,calib,absent_hard,0,rect_05,catalog,E2,incompatible,-2.0,0.3016,0,data/renders/procedural/square_03_peg_v1.png,data/renders/procedural/square_03_peg_v2.png,data/renders/procedural/rect_05_socket_v1.png,data/renders/procedural/rect_05_socket_v2.png
