split,family,peg_id,cand_id,offset_mm,label,reason,margin_mm,peg_v1,peg_v2,socket_v1,socket_v2
test,chamfered,chamfered_03,chamfered_03_ap+0.10,0.1,compatible,,0.0951,data/renders/procedural/chamfered_03_peg_v1.png,data/renders/procedural/chamfered_03_peg_v2.png,data/renders/aperture/chamfered_03_ap+0.10_socket_v1.png,data/renders/aperture/chamfered_03_ap+0.10_socket_v2.png
test,chamfered,chamfered_03,chamfered_03_ap+0.00,0.0,ambiguous,boundary,0.0,data/renders/procedural/chamfered_03_peg_v1.png,data/renders/procedural/chamfered_03_peg_v2.png,data/renders/aperture/chamfered_03_ap+0.00_socket_v1.png,data/renders/aperture/chamfered_03_ap+0.00_socket_v2.png
test,chamfered,chamfered_03,chamfered_03_ap-0.10,-0.1,ambiguous,off_centre,-0.1465,data/renders/procedural/chamfered_03_peg_v1.png,data/renders/procedural/chamfered_03_peg_v2.png,data/renders/aperture/chamfered_03_ap-0.10_socket_v1.png,data/renders/aperture/chamfered_03_ap-0.10_socket_v2.png
test,chamfered,chamfered_03,chamfered_03_ap-0.30,-0.3,incompatible,,-0.4404,data/renders/procedural/chamfered_03_peg_v1.png,data/renders/procedural/chamfered_03_peg_v2.png,data/renders/aperture/chamfered_03_ap-0.30_socket_v1.png,data/renders/aperture/chamfered_03_ap-0.30_socket_v2.png
test,chamfered,chamfered_03,chamfered_03_ap-0.60,-0.6,incompatible,,-0.8828,data/renders/procedural/chamfered_03_peg_v1.png,data/renders/procedural/chamfered_03_peg_v2.png,data/renders/aperture/chamfered_03_ap-0.60_socket_v1.png,data/renders/aperture/chamfered_03_ap-0.60_socket_v2.png
test,chamfered,chamfered_03,chamfered_03_ap-1.20,-1.2,incompatible,,-1.7793,data/renders/procedural/chamfered_03_peg_v1.png,data/renders/procedural/chamfered_03_peg_v2.png,data/renders/aperture/chamfered_03_ap-1.20_socket_v1.png,data/renders/aperture/chamfered_03_ap-1.20_socket_v2.png
test,chamfered,chamfered_04,chamfered_04,0.3,compatible,,0.2867,data/renders/procedural/chamfered_04_peg_v1.png,data/renders/procedural/chamfered_04_peg_v2.png,data/renders/procedural/chamfered_04_socket_v1.png,data/renders/procedural/chamfered_04_socket_v2.png
test,chamfered,chamfered_04,chamfered_04_ap+0.10,0.1,compatible,,0.0954,data/renders/procedural/chamfered_04_peg_v1.png,data/renders/procedural/chamfered_04_peg_v2.png,data/renders/aperture/chamfered_04_ap+0.10_socket_v1.png,data/renders/aperture/chamfered_04_ap+0.10_socket_v2.png
test,chamfered,chamfered_04,chamfered_04_ap+0.00,0.0,ambiguous,boundary,-0.001,data/renders/procedural/chamfered_04_peg_v1.png,data/renders/procedural/chamfered_04_peg_v2.png,data/renders/aperture/chamfered_04_ap+0.00_socket_v1.png,data/renders/aperture/chamfered_04_ap+0.00_socket_v2.png
test,chamfered,chamfered_04,chamfered_04_ap-0.10,-0.1,ambiguous,off_centre,-0.1416,data/renders/procedural/chamfered_04_peg_v1.png,data/renders/procedural/chamfered_04_peg_v2.png,data/renders/aperture/chamfered_04_ap-0.10_socket_v1.png,data/renders/aperture/chamfered_04_ap-0.10_socket_v2.png
test,chamfered,chamfered_04,chamfered_04_ap-0.30,-0.3,incompatible,,-0.4248,data/renders/procedural/chamfered_04_peg_v1.png,data/renders/procedural/chamfered_04_peg_v2.png,data/renders/aperture/chamfered_04_ap-0.30_socket_v1.png,data/renders/aperture/chamfered_04_ap-0.30_socket_v2.png
test,chamfered,chamfered_04,chamfered_04_ap-0.60,-0.6,incompatible,,-0.8496,data/renders/procedural/chamfered_04_peg_v1.png,data/renders/procedural/chamfered_04_peg_v2.png,data/renders/aperture/chamfered_04_ap-0.60_socket_v1.png,data/renders/aperture/chamfered_04_ap-0.60_socket_v2.png
test,chamfered,chamfered_04,chamfered_04_ap-1.20,-1.2,incompatible,,-1.7002,data/renders/procedural/chamfered_04_peg_v1.png,data/renders/procedural/chamfered_04_peg_v2.png,data/renders/aperture/chamfered_04_ap-1.20_socket_v1.png,data/renders/aperture/chamfered_04_ap-1.20_socket_v2.png
test,circle,circle_01,circle_01,0.3,compatible,,0.2999,data/renders/procedural/circle_01_peg_v1.png,data/renders/procedural/circle_01_peg_v2.png,data/renders/procedural/circle_01_socket_v1.png,data/renders/procedural/circle_01_socket_v2.png
test,circle,circle_01,circle_01_ap+0.10,0.1,compatible,,0.1,data/renders/procedural/circle_01_peg_v1.png,data/renders/procedural/circle_01_peg_v2.png,data/renders/aperture/circle_01_ap+0.10_socket_v1.png,data/renders/aperture/circle_01_ap+0.10_socket_v2.png
test,circle,circle_01,circle_01_ap+0.00,0.0,ambiguous,boundary,-0.001,data/renders/procedural/circle_01_peg_v1.png,data/renders/procedural/circle_01_peg_v2.png,data/renders/aperture/circle_01_ap+0.00_socket_v1.png,data/renders/aperture/circle_01_ap+0.00_socket_v2.png
test,circle,circle_01,circle_01_ap-0.10,-0.1,ambiguous,off_centre,-0.1006,data/renders/procedural/circle_01_peg_v1.png,data/renders/procedural/circle_01_peg_v2.png,data/renders/aperture/circle_01_ap-0.10_socket_v1.png,data/renders/aperture/circle_01_ap-0.10_socket_v2.png
test,circle,circle_01,circle_01_ap-0.30,-0.3,incompatible,,-0.3008,data/renders/procedural/circle_01_peg_v1.png,data/renders/procedural/circle_01_peg_v2.png,data/renders/aperture/circle_01_ap-0.30_socket_v1.png,data/renders/aperture/circle_01_ap-0.30_socket_v2.png
test,circle,circle_01,circle_01_ap-0.60,-0.6,incompatible,,-0.6006,data/renders/procedural/circle_01_peg_v1.png,data/renders/procedural/circle_01_peg_v2.png,data/renders/aperture/circle_01_ap-0.60_socket_v1.png,data/renders/aperture/circle_01_ap-0.60_socket_v2.png
test,circle,circle_01,circle_01_ap-1.20,-1.2,incompatible,,-1.2012,data/renders/procedural/circle_01_peg_v1.png,data/renders/procedural/circle_01_peg_v2.png,data/renders/aperture/circle_01_ap-1.20_socket_v1.png,data/renders/aperture/circle_01_ap-1.20_socket_v2.png
test,circle,circle_02,circle_02,0.3,compatible,,0.2999,data/renders/procedural/circle_02_peg_v1.png,data/renders/procedural/circle_02_peg_v2.png,data/renders/procedural/circle_02_socket_v1.png,data/renders/procedural/circle_02_socket_v2.png
test,circle,circle_02,circle_02_ap+0.10,0.1,compatible,,0.1,data/renders/procedural/circle_02_peg_v1.png,data/renders/procedural/circle_02_peg_v2.png,data/renders/aperture/circle_02_ap+0.10_socket_v1.png,data/renders/aperture/circle_02_ap+0.10_socket_v2.png
test,circle,circle_02,circle_02_ap+0.00,0.0,ambiguous,boundary,-0.001,data/renders/procedural/circle_02_peg_v1.png,data/renders/procedural/circle_02_peg_v2.png,data/renders/aperture/circle_02_ap+0.00_socket_v1.png,data/renders/aperture/circle_02_ap+0.00_socket_v2.png
test,circle,circle_02,circle_02_ap-0.10,-0.1,ambiguous,off_centre,-0.1006,data/renders/procedural/circle_02_peg_v1.png,data/renders/procedural/circle_02_peg_v2.png,data/renders/aperture/circle_02_ap-0.10_socket_v1.png,data/renders/aperture/circle_02_ap-0.10_socket_v2.png
test,circle,circle_02,circle_02_ap-0.30,-0.3,incompatible,,-0.3008,data/renders/procedural/circle_02_peg_v1.png,data/renders/procedural/circle_02_peg_v2.png,data/renders/aperture/circle_02_ap-0.30_socket_v1.png,data/renders/aperture/circle_02_ap-0.30_socket_v2.png
test,circle,circle_02,circle_02_ap-0.60,-0.6,incompatible,,-0.6006,data/renders/procedural/circle_02_peg_v1.png,data/renders/procedural/circle_02_peg_v2.png,data/renders/aperture/circle_02_ap-0.60_socket_v1.png,data/renders/aperture/circle_02_ap-0.60_socket_v2.png
test,circle,circle_02,circle_02_ap-1.20,-1.2,incompatible,,-1.2012,data/renders/procedural/circle_02_peg_v1.png,data/renders/procedural/circle_02_peg_v2.png,data/renders/aperture/circle_02_ap-1.20_socket_v1.png,data/renders/aperture/circle_02_ap-1.20_socket_v2.png
test,circle,circle_03,circle_03,0.3,compatible,,0.2999,data/renders/procedural/circle_03_peg_v1.png,data/renders/procedural/circle_03_peg_v2.png,data/renders/procedural/circle_03_socket_v1.png,data/renders/procedural/circle_03_socket_v2.png
test,circle,circle_03,circle_03_ap+0.10,0.1,compatible,,0.1,data/renders/procedural/circle_03_peg_v1.png,data/renders/procedural/circle_03_peg_v2.png,data/renders/aperture/circle_03_ap+0.10_socket_v1.png,data/renders/aperture/circle_03_ap+0.10_socket_v2.png
test,circle,circle_03,circle_03_ap+0.00,0.0,ambiguous,boundary,-0.001,data/renders/procedural/circle_03_peg_v1.png,data/renders/procedural/circle_03_peg_v2.png,data/renders/aperture/circle_03_ap+0.00_socket_v1.png,data/renders/aperture/circle_03_ap+0.00_socket_v2.png
test,circle,circle_03,circle_03_ap-0.10,-0.1,ambiguous,off_centre,-0.1006,data/renders/procedural/circle_03_peg_v1.png,data/renders/procedural/circle_03_peg_v2.png,data/renders/aperture/circle_03_ap-0.10_socket_v1.png,data/renders/aperture/circle_03_ap-0.10_socket_v2.png
test,circle,circle_03,circle_03_ap-0.30,-0.3,incompatible,,-0.3008,data/renders/procedural/circle_03_peg_v1.png,data/renders/procedural/circle_03_peg_v2.png,data/renders/aperture/circle_03_ap-0.30_socket_v1.png,data/renders/aperture/circle_03_ap-0.30_socket_v2.png
test,circle,circle_03,circle_03_ap-0.60,-0.6,incompatible,,-0.6006,data/renders/procedural/circle_03_peg_v1.png,data/renders/procedural/circle_03_peg_v2.png,data/renders/aperture/circle_03_ap-0.60_socket_v1.png,data/renders/aperture/circle_03_ap-0.60_socket_v2.png
test,circle,circle_03,circle_03_ap-1.20,-1.2,incompatible,,-1.2012,data/renders/procedural/circle_03_peg_v1.png,data/renders/procedural/circle_03_peg_v2.png,data/renders/aperture/circle_03_ap-1.20_socket_v1.png,data/renders/aperture/circle_03_ap-1.20_socket_v2.png
test,circle,circle_04,circle_04,0.3,compatible,,0.2999,data/renders/procedural/circle_04_peg_v1.png,data/renders/procedural/circle_04_peg_v2.png,data/renders/procedural/circle_04_socket_v1.png,data/renders/procedural/circle_04_socket_v2.png
test,circle,circle_04,circle_04_ap+0.10,0.1,compatible,,0.1,data/renders/procedural/circle_04_peg_v1.png,data/renders/procedural/circle_04_peg_v2.png,data/renders/aperture/circle_04_ap+0.10_socket_v1.png,data/renders/aperture/circle_04_ap+0.10_socket_v2.png
test,circle,circle_04,circle_04_ap+0.00,0.0,ambiguous,boundary,-0.001,data/renders/procedural/circle_04_peg_v1.png,data/renders/procedural/circle_04_peg_v2.png,data/renders/aperture/circle_04_ap+0.00_socket_v1.png,data/renders/aperture/circle_04_ap+0.00_socket_v2.png
test,circle,circle_04,circle_04_ap-0.10,-0.1,ambiguous,off_centre,-0.1006,data/renders/procedural/circle_04_peg_v1.png,data/renders/procedural/circle_04_peg_v2.png,data/renders/aperture/circle_04_ap-0.10_socket_v1.png,data/renders/aperture/circle_04_ap-0.10_socket_v2.png
test,circle,circle_04,circle_04_ap-0.30,-0.3,incompatible,,-0.3008,data/renders/procedural/circle_04_peg_v1.png,data/renders/procedural/circle_04_peg_v2.png,data/renders/aperture/circle_04_ap-0.30_socket_v1.png,data/renders/aperture/circle_04_ap-0.30_socket_v2.png
test,circle,circle_04,circle_04_ap-0.60,-0.6,incompatible,,-0.6006,data/renders/procedural/circle_04_peg_v1.png,data/renders/procedural/circle_04_peg_v2.png,data/renders/aperture/circle_04_ap-0.60_socket_v1.png,data/renders/aperture/circle_04_ap-0.60_socket_v2.png
test,circle,circle_04,circle_04_ap-1.20,-1.2,incompatible,,-1.2012,data/renders/procedural/circle_04_peg_v1.png,data/renders/procedural/circle_04_peg_v2.png,data/renders/aperture/circle_04_ap-1.20_socket_v1.png,data/renders/aperture/circle_04_ap-1.20_socket_v2.png
test,circle,circle_05,circle_05,0.3,compatible,,0.2999,data/renders/procedural/circle_05_peg_v1.png,data/renders/procedural/circle_05_peg_v2.png,data/renders/procedural/circle_05_socket_v1.png,data/renders/procedural/circle_05_socket_v2.png
test,circle,circle_05,circle_05_ap+0.10,0.1,compatible,,0.1,data/renders/procedural/circle_05_peg_v1.png,data/renders/procedural/circle_05_peg_v2.png,data/renders/aperture/circle_05_ap+0.10_socket_v1.png,data/renders/aperture/circle_05_ap+0.10_socket_v2.png
test,circle,circle_05,circle_05_ap+0.00,0.0,ambiguous,boundary,-0.001,data/renders/procedural/circle_05_peg_v1.png,data/renders/procedural/circle_05_peg_v2.png,data/renders/aperture/circle_05_ap+0.00_socket_v1.png,data/renders/aperture/circle_05_ap+0.00_socket_v2.png
test,circle,circle_05,circle_05_ap-0.10,-0.1,ambiguous,off_centre,-0.1006,data/renders/procedural/circle_05_peg_v1.png,data/renders/procedural/circle_05_peg_v2.png,data/renders/aperture/circle_05_ap-0.10_socket_v1.png,data/renders/aperture/circle_05_ap-0.10_socket_v2.png
test,circle,circle_05,circle_05_ap-0.30,-0.3,incompatible,,-0.3008,data/renders/procedural/circle_05_peg_v1.png,data/renders/procedural/circle_05_peg_v2.png,data/renders/aperture/circle_05_ap-0.30_socket_v1.png,data/renders/aperture/circle_05_ap-0.30_socket_v2.png
test,circle,circle_05,circle_05_ap-0.60,-0.6,incompatible,,-0.6006,data/renders/procedural/circle_05_peg_v1.png,data/renders/procedural/circle_05_peg_v2.png,data/renders/aperture/circle_05_ap-0.60_socket_v1.png,data/renders/aperture/circle_05_ap-0.60_socket_v2.png
test,circle,circle_05,circle_05_ap-1.20,-1.2,incompatible,,-1.2012,data/renders/procedural/circle_05_peg_v1.png,data/renders/procedural/circle_05_peg_v2.png,data/renders/aperture/circle_05_ap-1.20_socket_v1.png,data/renders/aperture/circle_05_ap-1.20_socket_v2.png
test,double_d,double_d_01,double_d_01,0.3,compatible,,0.2999,data/renders/procedural/double_d_01_peg_v1.png,data/renders/procedural/double_d_01_peg_v2.png,data/renders/procedural/double_d_01_socket_v1.png,data/renders/procedural/double_d_01_socket_v2.png
test,double_d,double_d_01,double_d_01_ap+0.10,0.1,compatible,,0.1,data/renders/procedural/double_d_01_peg_v1.png,data/renders/procedural/double_d_01_peg_v2.png,data/renders/aperture/double_d_01_ap+0.10_socket_v1.png,data/renders/aperture/double_d_01_ap+0.10_socket_v2.png
test,double_d,double_d_01,double_d_01_ap+0.00,0.0,ambiguous,boundary,-0.001,data/renders/procedural/double_d_01_peg_v1.png,data/renders/procedural/double_d_01_peg_v2.png,data/renders/aperture/double_d_01_ap+0.00_socket_v1.png,data/renders/aperture/double_d_01_ap+0.00_socket_v2.png
test,double_d,double_d_01,double_d_01_ap-0.10,-0.1,ambiguous,off_centre,-0.1074,data/renders/procedural/double_d_01_peg_v1.png,data/renders/procedural/double_d_01_peg_v2.png,data/renders/aperture/double_d_01_ap-0.10_socket_v1.png,data/renders/aperture/double_d_01_ap-0.10_socket_v2.png
test,double_d,double_d_01,double_d_01_ap-0.30,-0.3,incompatible,,-0.3203,data/renders/procedural/double_d_01_peg_v1.png,data/renders/procedural/double_d_01_peg_v2.png,data/renders/aperture/double_d_01_ap-0.30_socket_v1.png,data/renders/aperture/double_d_01_ap-0.30_socket_v2.png
test,double_d,double_d_01,double_d_01_ap-0.60,-0.6,incompatible,,-0.6436,data/renders/procedural/double_d_01_peg_v1.png,data/renders/procedural/double_d_01_peg_v2.png,data/renders/aperture/double_d_01_ap-0.60_socket_v1.png,data/renders/aperture/double_d_01_ap-0.60_socket_v2.png
test,double_d,double_d_01,double_d_01_ap-1.20,-1.2,incompatible,,-1.291,data/renders/procedural/double_d_01_peg_v1.png,data/renders/procedural/double_d_01_peg_v2.png,data/renders/aperture/double_d_01_ap-1.20_socket_v1.png,data/renders/aperture/double_d_01_ap-1.20_socket_v2.png
test,double_d,double_d_02,double_d_02,0.3,compatible,,0.2999,data/renders/procedural/double_d_02_peg_v1.png,data/renders/procedural/double_d_02_peg_v2.png,data/renders/procedural/double_d_02_socket_v1.png,data/renders/procedural/double_d_02_socket_v2.png
test,double_d,double_d_02,double_d_02_ap+0.10,0.1,compatible,,0.1,data/renders/procedural/double_d_02_peg_v1.png,data/renders/procedural/double_d_02_peg_v2.png,data/renders/aperture/double_d_02_ap+0.10_socket_v1.png,data/renders/aperture/double_d_02_ap+0.10_socket_v2.png
test,double_d,double_d_02,double_d_02_ap+0.00,0.0,ambiguous,boundary,-0.001,data/renders/procedural/double_d_02_peg_v1.png,data/renders/procedural/double_d_02_peg_v2.png,data/renders/aperture/double_d_02_ap+0.00_socket_v1.png,data/renders/aperture/double_d_02_ap+0.00_socket_v2.png
test,double_d,double_d_02,double_d_02_ap-0.10,-0.1,ambiguous,off_centre,-0.1162,data/renders/procedural/double_d_02_peg_v1.png,data/renders/procedural/double_d_02_peg_v2.png,data/renders/aperture/double_d_02_ap-0.10_socket_v1.png,data/renders/aperture/double_d_02_ap-0.10_socket_v2.png
test,double_d,double_d_02,double_d_02_ap-0.30,-0.3,incompatible,,-0.3477,data/renders/procedural/double_d_02_peg_v1.png,data/renders/procedural/double_d_02_peg_v2.png,data/renders/aperture/double_d_02_ap-0.30_socket_v1.png,data/renders/aperture/double_d_02_ap-0.30_socket_v2.png
test,double_d,double_d_02,double_d_02_ap-0.60,-0.6,incompatible,,-0.6982,data/renders/procedural/double_d_02_peg_v1.png,data/renders/procedural/double_d_02_peg_v2.png,data/renders/aperture/double_d_02_ap-0.60_socket_v1.png,data/renders/aperture/double_d_02_ap-0.60_socket_v2.png
test,double_d,double_d_02,double_d_02_ap-1.20,-1.2,incompatible,,-1.4062,data/renders/procedural/double_d_02_peg_v1.png,data/renders/procedural/double_d_02_peg_v2.png,data/renders/aperture/double_d_02_ap-1.20_socket_v1.png,data/renders/aperture/double_d_02_ap-1.20_socket_v2.png
test,double_d,double_d_03,double_d_03,0.3,compatible,,0.2999,data/renders/procedural/double_d_03_peg_v1.png,data/renders/procedural/double_d_03_peg_v2.png,data/renders/procedural/double_d_03_socket_v1.png,data/renders/procedural/double_d_03_socket_v2.png
test,double_d,double_d_03,double_d_03_ap+0.10,0.1,compatible,,0.1,data/renders/procedural/double_d_03_peg_v1.png,data/renders/procedural/double_d_03_peg_v2.png,data/renders/aperture/double_d_03_ap+0.10_socket_v1.png,data/renders/aperture/double_d_03_ap+0.10_socket_v2.png
test,double_d,double_d_03,double_d_03_ap+0.00,0.0,ambiguous,boundary,-0.001,data/renders/procedural/double_d_03_peg_v1.png,data/renders/procedural/double_d_03_peg_v2.png,data/renders/aperture/double_d_03_ap+0.00_socket_v1.png,data/renders/aperture/double_d_03_ap+0.00_socket_v2.png
test,double_d,double_d_03,double_d_03_ap-0.10,-0.1,ambiguous,off_centre,-0.1094,data/renders/procedural/double_d_03_peg_v1.png,data/renders/procedural/double_d_03_peg_v2.png,data/renders/aperture/double_d_03_ap-0.10_socket_v1.png,data/renders/aperture/double_d_03_ap-0.10_socket_v2.png
test,double_d,double_d_03,double_d_03_ap-0.30,-0.3,incompatible,,-0.3271,data/renders/procedural/double_d_03_peg_v1.png,data/renders/procedural/double_d_03_peg_v2.png,data/renders/aperture/double_d_03_ap-0.30_socket_v1.png,data/renders/aperture/double_d_03_ap-0.30_socket_v2.png
test,double_d,double_d_03,double_d_03_ap-0.60,-0.6,incompatible,,-0.6533,data/renders/procedural/double_d_03_peg_v1.png,data/renders/procedural/double_d_03_peg_v2.png,data/renders/aperture/double_d_03_ap-0.60_socket_v1.png,data/renders/aperture/double_d_03_ap-0.60_socket_v2.png
test,double_d,double_d_03,double_d_03_ap-1.20,-1.2,incompatible,,-1.3105,data/renders/procedural/double_d_03_peg_v1.png,data/renders/procedural/double_d_03_peg_v2.png,data/renders/aperture/double_d_03_ap-1.20_socket_v1.png,data/renders/aperture/double_d_03_ap-1.20_socket_v2.png
calib,ell,ell_01,ell_01,0.3,compatible,,0.2346,data/renders/procedural/ell_01_peg_v1.png,data/renders/procedural/ell_01_peg_v2.png,data/renders/procedural/ell_01_socket_v1.png,data/renders/procedural/ell_01_socket_v2.png
calib,ell,ell_01,ell_01_ap+0.10,0.1,compatible,,0.0776,data/renders/procedural/ell_01_peg_v1.png,data/renders/procedural/ell_01_peg_v2.png,data/renders/aperture/ell_01_ap+0.10_socket_v1.png,data/renders/aperture/ell_01_ap+0.10_socket_v2.png
calib,ell,ell_01,ell_01_ap+0.00,0.0,ambiguous,boundary,-0.001,data/renders/procedural/ell_01_peg_v1.png,data/renders/procedural/ell_01_peg_v2.png,data/renders/aperture/ell_01_ap+0.00_socket_v1.png,data/renders/aperture/ell_01_ap+0.00_socket_v2.png
calib,ell,ell_01,ell_01_ap-0.10,-0.1,ambiguous,off_centre,-0.165,data/renders/procedural/ell_01_peg_v1.png,data/renders/procedural/ell_01_peg_v2.png,data/renders/aperture/ell_01_ap-0.10_socket_v1.png,data/renders/aperture/ell_01_ap-0.10_socket_v2.png
calib,ell,ell_01,ell_01_ap-0.30,-0.3,incompatible,,-0.4941,data/renders/procedural/ell_01_peg_v1.png,data/renders/procedural/ell_01_peg_v2.png,data/renders/aperture/ell_01_ap-0.30_socket_v1.png,data/renders/aperture/ell_01_ap-0.30_socket_v2.png
calib,ell,ell_01,ell_01_ap-0.60,-0.6,incompatible,,-0.9912,data/renders/procedural/ell_01_peg_v1.png,data/renders/procedural/ell_01_peg_v2.png,data/renders/aperture/ell_01_ap-0.60_socket_v1.png,data/renders/aperture/ell_01_ap-0.60_socket_v2.png
calib,ell,ell_01,ell_01_ap-1.20,-1.2,incompatible,,-1.998,data/renders/procedural/ell_01_peg_v1.png,data/renders/procedural/ell_01_peg_v2.png,data/renders/aperture/ell_01_ap-1.20_socket_v1.png,data/renders/aperture/ell_01_ap-1.20_socket_v2.png
calib,ell,ell_02,ell_02,0.3,compatible,,0.2346,data/renders/procedural/ell_02_peg_v1.png,data/renders/procedural/ell_02_peg_v2.png,data/renders/procedural/ell_02_socket_v1.png,data/renders/procedural/ell_02_socket_v2.png
calib,ell,ell_02,ell_02_ap+0.10,0.1,compatible,,0.0776,data/renders/procedural/ell_02_peg_v1.png,data/renders/procedural/ell_02_peg_v2.png,data/renders/aperture/ell_02_ap+0.10_socket_v1.png,data/renders/aperture/ell_02_ap+0.10_socket_v2.png
calib,ell,ell_02,ell_02_ap+0.00,0.0,ambiguous,boundary,-0.001,data/renders/procedural/ell_02_peg_v1.png,data/renders/procedural/ell_02_peg_v2.png,data/renders/aperture/ell_02_ap+0.00_socket_v1.png,data/renders/aperture/ell_02_ap+0.00_socket_v2.png
calib,ell,ell_02,ell_02_ap-0.10,-0.1,ambiguous,off_centre,-0.165,data/renders/procedural/ell_02_peg_v1.png,data/renders/procedural/ell_02_peg_v2.png,data/renders/aperture/ell_02_ap-0.10_socket_v1.png,data/renders/aperture/ell_02_ap-0.10_socket_v2.png
calib,ell,ell_02,ell_02_ap-0.30,-0.3,incompatible,,-0.4941,data/renders/procedural/ell_02_peg_v1.png,data/renders/procedural/ell_02_peg_v2.png,data/renders/aperture/ell_02_ap-0.30_socket_v1.png,data/renders/aperture/ell_02_ap-0.30_socket_v2.png
